9-s2.0-23973491800,Agnitron Technology Incorporated, null,United States 
9-s2.0-23982832900,Pennsylvania State University,University Park,United States 
9-s2.0-23987373400,University of Notre Dame,Notre Dame,United States 
9-s2.0-23988494700,Georgia Institute of Technology,Atlanta,United States 
9-s2.0-23989896100,Hohai University,Nanjing,China 
9-s2.0-23990027100,Czech University of Life Sciences Prague,Prague,Czech Republic 
9-s2.0-24069513800,Hamburg University of Technology,Hamburg,Germany 
9-s2.0-24075074500,"University of California, Berkeley",Berkeley,United States 
9-s2.0-24077308500,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-24177708100,Purdue University,West Lafayette,United States 
9-s2.0-24178306600,McGill University,Montreal,Canada 
9-s2.0-24279887700,Huazhong University of Science and Technology,Wuhan,China 
9-s2.0-24280193100,Chinese Academy of Sciences,Beijing,China 
9-s2.0-24295626400,The Ohio State University,Columbus,United States 
9-s2.0-24297881400,Northwestern University,Evanston,United States 
9-s2.0-24298185700,European Organization for Nuclear Research,Geneva,Switzerland 
9-s2.0-24308219100,Virginia Polytechnic Institute and State University,Blacksburg,United States 
9-s2.0-24319858500,Chongqing University,Chongqing,China 
9-s2.0-24325399900,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-24327624800,"University of Michigan, Ann Arbor",Ann Arbor,United States 
9-s2.0-24331613300,University of Delaware,Newark,United States 
9-s2.0-24337079700,Beihang University,Beijing,China 
9-s2.0-24339243400,Pacific Northwest National Laboratory,Richland,United States 
9-s2.0-24344078700,Rutgers University–New Brunswick,New Brunswick,United States 
9-s2.0-24353472500,Massachusetts Institute of Technology,Cambridge,United States 
9-s2.0-24355301600,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-24363847200,Arizona State University,Tempe,United States 
9-s2.0-24366261200,National Cheng Kung University,Tainan,Taiwan 
9-s2.0-24434477500,Albany Medical College,Albany,United States 
9-s2.0-24437497100,Stanford University,Palo Alto,United States 
9-s2.0-24437645600,University of Notre Dame,Notre Dame,United States 
9-s2.0-24439774100,Stanford University,Palo Alto,United States 
9-s2.0-24460806900,"University of California, Riverside",Riverside,United States 
9-s2.0-24473792300,Singapore University of Technology and Design, null,Singapore 
9-s2.0-24474353600,Trinity College Dublin,Dublin,Ireland 
9-s2.0-24475914200,Centro Nacional de Supercomputación,Barcelona,Spain 
9-s2.0-24480108500,Wayne State University,Detroit,United States 
9-s2.0-24483936300,Universitas Katolik Parahyangan,Bandung,Indonesia 
9-s2.0-24488056900,"University of California, San Diego",San Diego,United States 
9-s2.0-24492106800,Universidad Autónoma de Madrid,Madrid,Spain 
9-s2.0-24492167900,Virginia Polytechnic Institute and State University,Blacksburg,United States 
9-s2.0-24494646000,The Institute of Engineering in Medicine,San Diego,United States 
9-s2.0-24503280300,Campus for Research Excellence And Technological Enterprise,Singapore City,Singapore 
9-s2.0-24512136100,IBM/Macronix PCRAM Joint Project, null,Belgium 
9-s2.0-24512206900,Carl Zeiss,Oberkochen,Germany 
9-s2.0-24528142000,Amirkabir University of Technology,Tehran,Iran 
9-s2.0-24529090700,Lawrence Berkeley National Laboratory,Berkeley,United States 
9-s2.0-24529204300,Michigan State University,East Lansing,United States 
9-s2.0-24534392900,UCI School of Medicine,Irvine,United States 
9-s2.0-24534663400,Chinese University of Hong Kong,Shatin,Hong Kong 
9-s2.0-24535653800,The University of British Columbia,Vancouver,Canada 
